stars;acc;pp
2.64;0.9799713375467827;143.565
2.64;0.9795197492550856;143.116
2.64;0.9793073584146983;142.903
2.64;0.9790805332453527;142.676
2.64;0.9790372302584776;142.633
2.64;0.9779732140095473;141.566
2.64;0.9779711519625532;141.564
2.64;0.9777278304172552;141.321
2.64;0.977637100349517;141.23
2.64;0.9770989060840697;140.691
2.64;0.9770494169562124;140.641
2.64;0.9770143621573135;140.606
2.64;0.9770061139693373;140.598
2.64;0.9769380664185336;140.529
2.64;0.9767194894371642;140.31
2.64;0.9760823169160026;139.672
2.64;0.9753255456691858;138.914
2.64;0.9746760008660598;138.263
2.64;0.9744945407305833;138.081
2.64;0.9743811281459105;137.968
2.64;0.9742037921044221;137.79
2.64;0.9741192481776659;137.705
2.64;0.97395840851213;137.544
2.64;0.9736470394160283;137.232
2.64;0.9732325679702241;136.817
2.64;0.9732140095472775;136.799
2.64;0.9731810167953727;136.765
2.64;0.9731397758554917;136.724
2.64;0.9728449031353424;136.429
2.64;0.972704683939747;136.288
2.64;0.9726366363889433;136.22
2.64;0.9719561608809065;135.538
2.64;0.9719190440350136;135.501
2.64;0.9718489344372159;135.431
2.64;0.9716241713148642;135.206
2.64;0.9716221092678702;135.204
2.64;0.9714447732263818;135.026
2.64;0.9707003742615294;134.28
2.64;0.9702570341578085;133.836
2.64;0.9702096070769453;133.789
2.64;0.9701910486539989;133.77
2.64;0.9699394789207246;133.521
2.64;0.9697023435164087;133.297
2.64;0.9693146786815271;132.93
2.64;0.9689105174706931;132.548
2.64;0.9680155890752751;131.701
2.64;0.9672629419224464;130.989
2.64;0.9665804043674155;130.343
2.64;0.9662484148013734;130.029
2.64;0.9662030497675042;129.986
2.64;0.9661391263106887;129.926
2.64;0.9659473559402418;129.744
2.64;0.96538647915786;129.213
2.64;0.9653493623119671;129.178
2.64;0.9653246177480385;129.155
2.64;0.965264818385211;129.098
2.64;0.9638749987112206;127.783
2.64;0.9634687754533926;127.399
2.64;0.9633883556206246;127.323
2.64;0.9632233918611005;127.167
2.64;0.9631553443102968;127.102
2.64;0.9626501427967543;126.624
2.64;0.9619717293357115;125.982
2.64;0.9617923312472291;125.813
2.64;0.9611613448670495;125.216
2.64;0.9605880958027033;124.673
2.64;0.9601447556989824;124.254
2.64;0.9600210328793394;124.137
2.64;0.9599736057984761;124.092
2.64;0.9598003938509758;123.963
2.64;0.959643678279428;123.843
2.64;0.9596106855275232;123.818
2.64;0.9584476910228784;122.924
2.64;0.9582002453835923;122.734
2.64;0.9580043509191575;122.584
2.64;0.9579507376973121;122.543
2.64;0.9578703178645441;122.481
2.64;0.9576702993061211;122.327
2.64;0.9574517223247517;122.16
2.64;0.9569259003412688;121.756
2.64;0.9568681630254353;121.711
2.64;0.9567135095008815;121.593
2.64;0.9565031807074883;121.431
2.64;0.9564289470157025;121.374
2.64;0.9561815013764163;121.184
2.64;0.9561485086245115;121.159
2.64;0.955317503685909;120.52
2.64;0.9552020290542421;120.432
2.64;0.9544885607943006;119.884
2.64;0.9543751482096277;119.796
2.64;0.9534389788743285;119.077
2.64;0.9533668072295367;119.022
2.64;0.953294635584745;118.967
2.64;0.9523832108133744;118.267
2.64;0.9520718417172728;118.027
2.64;0.9515604540627481;117.635
2.64;0.9512614572486107;117.405
2.64;0.9509356538235506;117.155
2.64;0.9507933725809611;117.045
2.64;0.9507686280170325;117.026
2.64;0.9506016022105144;116.898
2.64;0.9505603612706334;116.866
2.64;0.9498448309636977;116.329
2.64;0.9498386448227155;116.325
2.64;0.9495478961965543;116.124
2.64;0.9493066366982503;115.957
2.64;0.9491952861605716;115.881
2.64;0.9490859976698869;115.805
2.64;0.9488179315606603;115.62
2.64;0.9485787341093503;115.455
2.64;0.9484117083028322;115.34
2.64;0.9483993360208679;115.331
2.64;0.9482570547782784;115.233
2.64;0.9481457042405996;115.156
2.64;0.948120959676671;115.139
2.64;0.9480673464548257;115.102
2.64;0.947877638131373;114.971
2.64;0.9478095905805693;114.924
2.64;0.9476095720221464;114.786
2.64;0.9474239877926818;114.658
2.64;0.9472260312812529;114.522
2.64;0.9471786042003897;114.489
2.64;0.9471682939654195;114.482
2.64;0.9470858120856575;114.425
2.64;0.9470631295687229;114.409
2.64;0.9470631295687229;114.409
2.64;0.9470074542998835;114.371
2.64;0.9468940417152107;114.292
